service_type,Total_Orders,Cancelled,Completed,No Driver Found,Other
BOX,305,"14,212,667,000","87,111,362,800","3,141,390,000","7,957,600"
FOOD,318,"27,133,771,000","85,529,257,380","571,389,000","26,271,000"
MARKET,247,"922,866,000","2,115,288,000","5,026,000","126,000"
RIDE,336,"97,311,184,600","507,212,946,800","25,271,528,800","93,584,400"
TRUCK,280,"10,663,929,906","18,789,622,009","2,116,159,644","4,587,800"
